"روږدېدنه، په نشای شيانو اموخته کېدل", اعتياد,,,
"ويى لړ، نوم لړ، لښتېليک، کټکيزه", انڈکس,,,
"ستانه، دلبار، درشل", آستاں,,,
"ځوښت، ځوښ،ايشاند، خوټ، خوټکېدنه",اُبال,,,
"ځوښړه، يشاند، يشېدنه",اُبالنه,,,
"ځوړ، ځوېړ، مخ په ښکته",اُترائى,,,
"چړکنده، گونگ، گونگے",اُلو,,,
"ورگ، وړۍ",اُون,,,
"پيليز، لومړنے، وړومبے، وړومبنے",ابتدائى,,,
"نوښتگر، نوې اېستونکے",ابتکار,,,
"ازمېښت، ازماينه",ابتلا,,,
"خوشالی، خوښی، سوکالی",ابتھاج,,,
"تل تر تله، پا يښته، تلپا تې ",ابد,,,
"نوې ايستنه، نوښت، نوکار، نوچار",ابداع,,,
"تلتيا، پاتې والے",ابديت,,,
"تلپاتې، مدام، تلن",ابدی,,,
"تلژوند، تلژوانده",ابدی زندگی,,,
"وريځ، اوريځ",ابرالود,,,
"پت، ناموس",ابرو,,,
"پتيال، پتوال، پتمن",ابرومند,,,
"کړونگه، زاوو، څاوو، چړوبے، چړچوړ",ابشار,,,
" رساوے، رسونه، خورونه، خپرونه",ابلاغ,,,
"ټکی ټکی، پټې پټې، برگ، برگ بروگ",ابلق,,,
"ورځچارے، وخت چارے، ورځ او شپه ",ابلق ايام ,,,
"گلالے، ښيايسته ، ښکلوسترگو واله ",ابلق چشم ,,,
"ورځچارے، وخت چارے",ابن الوقت,,,
"اوبخوڅه، په اوچه کې ننوتې اوبه",ابناء,,,
"اړنگ دړنگ، شکمن، نابشپړ، ناڅرگند، وسوسه",ابهام,,,
" بېلوال ، اپرتاد",اپارتائڈ,,,
"بېلواله ، نسل پرست",اپارتائسٹ,,,
"پرهارتون، پرهارخونه",اپريشن تهيٹر,,,
"نسليکه، کلموړه",اپنڈيکس,,,
"پلتگی، پلگری، پلښت، پليونی، ايلای ، ايلتوب ",اتباع,,,
"يو والے، يوون، ملتيا، ﻻس يوے، همتړونے، همتړے، ټلوالى، انډيوالی",اتحاد,,,
"اور ورين غر، گوگړغر، اورشيندے غر، اورين غر",اتش فشاں,,,
"نښت، نښته، نښتون، تړنځے، ملښت، يوځاينه، پېوستون",اتصال,,,
"يوون، ملتيا، يوواله، يوتيا، لاس يوے",اتفاق,,,
"ټولمنلتيا، يو غږ",اتفاق راۓ,,,
"ناڅاپه، بې تمې، بې ارادې",اتفاقاّ,,,
"ناځاپه، ناببرے",اتفاقی,,,
"پېشاند، ځغلاند،څوک چې منډې او تېزې منډې وهى",اتهليٹ,,,
"واکواله، چارواله",اتھارٹی,,,
"نه شنونے، نه تجزيه کيدونکے، اټل",اٹل,,,
" پخپله، اتومات ، خودکار",اٹوميٹک,,,
"توښه، مال دولت، د کور کالى، کډې کوډې",اثاثه,,,
"ښکالو، الامه، بوياره، نښې نښانې، اروے، بولغه",اثار,,,
"لرغونې نړاندې، لرغونې پاتې شونې، اکره",اثارقديمه,,,
"دليل راوړنه، سرتا رسونه، سپيناوے",اثبات,,,
" اغېزه، ادرم، پدل، پازه، پياشه ، رښک",اثر,,,
"اغېزمن، پازه لرونکے",اثر پزير,,,
"ترس، وخت",اثنا,,,
"منل، خوښه",اجابت,,,
"باړه ، اجاره ، ايمه ",اجاره,,,
"باړه وال، ايمه دار، اجاره دار",اجاره دار,,,
"باړه والی، اجاره داری",اجاره دارى,,,
"پرېښه، ټاکه",اجازت,,,
"ټولنه، غونډه",اجتماع,,,
"ټولنيز، په گډه سره، ټولگير",اجتماعى,,,
"ټولنپال ، ټولنخوښے",اجتماعيت پسند,,,
"ټولنوټه، ټولوټه",اجتماعی اقتصاد,,,
"ټولوده، ټوليزه وده، ټوليزپرمخيون، ټوليزپرمختگ",اجتماعی ترقی,,,
"ټولگټه، ټوليزه شتمنی، د ټولو خلکو گټه",اجتماعی منافع,,,
"پرهېز، ډډه، ځان ساتنه، غاړه غړونه، سرغړاوے، سرغړونه، ځان ژغورنه",اجتناب,,,
"روايښ، هڅه، هاند، لټون",اجتهاد,,,
"زوزاد، پلار نيکونه",اجداد,,,
"بدل، باړه، الېش",اجر,,,
"هسکروڼی، ستوری او ستورټوليزې",اجرام فلکی,,,
" مزدورى، اجوره، دياړى، اړه، باړه،  بابت، ﻻس گټه، ﻻسمزد",اجرت,,,
"بسکر، څوک چې په پېسو مړی کوی",اجرتى قاتل,,,
"ويران، ويجار، وران ويجاړ",اجڑا,,,
"توکى، ټوکړی، برخې",اجزا,,,
" توکی، رغنده توکی",اجزائے ترکيبى,,,
"وېنا توکى، ژبنى توکى",اجزائے کلام,,,
"تن، بدنونه، پږې، پژې",اجسام,,,
"غونډه، ناسته، پېنډه، پنډار",اجلاس,,,
" لنډيز، لنډون",اجمال,,,
"په لنډو ټکو، په لنډو",اجمالاّ,,,
"څيزونه، غله، غنم جوار",اجناس,,,
"بورژلے، بورژنے، بل ځايگه، بل ځای، مساپر، پردے، بېديانے",اجنبى,,,
"باړه چی، مزدورکار",اجير,,,
"ناښه ، ناخوښ",اجيرن,,,
"ناڅاپه، ناگومانه، ناگهانه،بېلهمه، سم د لاسه، ناببره، اينامه، نيامده",اچانک,,,
"ورنډه، هپه، چپاو",اچانک حمله,,,
"انگڼ، غولے، چاپېرون، چاپېرےوربوے، .کېړ",احاط,,,
"ملگری، دوستان، اشنايان، ياران،  انډيوالان",احباب,,,
"غاو، ناخوښی ، ناخوښے",احتجاج,,,
"غاوچی، غاوے",احتجاج کننده,,,
غاو ليک,احتجاج نامه,,,
"ځان سا تنه، پال کونه،ډډه کونه، څنگ کونه، ځان ژغورنه، ږوند",احتراز,,,
"نوښت، پېداېښت",احتراع,,,
"درناوے،درنښت، ارزه، سرلوينه، .رازن،  پريت ،  لوړاوے",احترام,,,
"سپيناوے، رڼاوے، سپينے، جاج اغستنه",احتساب,,,
"خوب خړ، اوبخړ، اودس اوړېدنه",احتلام,,,
"کېدون، شونتيا، گمان، امکان، اټکل",احتمال,,,
"اړتيا، موتازى",احتياج,,,
"پام، پاملرنه، خبردارے، ځان ساتنه",احتياط,,,
"ننگېرل، ننگېرنه، ولوله، ورښکه، پېز",احساس,,,
ارواغټی,احساس برتری,,,
"ولوليز، د ولولونه ډک",احساساتی,,,
"ښېگړه، ښېگڼه، نيکى، پاسل، پاسلل، پاسلنه، لورېينه، سپاس، پاست، سونت، منت",احسان,,,
"نيکی هېرے، نيکی غاود، منتماتے",احسان فراموش,,,
"منندويه، سونتے",احسان مند,,,
"پاسلنه، سونتيا",احسانمندى,,,
"خوندوره کيسه، ښه کيسه",احسن القصاص,,,
"شمېرل، گڼل",احصا,,,
"شمېرنه، گڼنه",احصائيه,,,
"سوبونه، بلنه( دحاضر اړوند)",احضار,,,
"سور، تک سور",احمر,,,
"نا پوهه، بېړا، نادان، باډنگ، بودلے، .اگن، کودن، پوسن",احمق,,,
اکروکر,احوال,,,
"بيا ژواکے، بيا ژوند، تاندونه",احيا,,,
"خبرونه، ورځپاڼه، خبر پاڼه، ورځنے",اخبار,,,
"خبريال، خبرکښے",اخبارنويس,,,
"خبريالی، خبرکښی",اخبارنويسی,,,
"خبريال، خبريالے، رسنوال",اخباری نمائندہ,,,
"پايلنيوې، پای",اختتام,,,
"توړ، ترپايه ، تر اخره ",اختتام تک,,,
"پايڅوړ، پايمخ",اختتاميه,,,
"نوې ايسنه، سپړنه، چارايستنه   ، دروغ، جوړونې",اختراع,,,
"لنډونه، نڅوړ،  لنډيز، لنډون",اختصار,,,
"لنډ کښنی، لنډ ليکل ",اختصارنويسی,,,
"ځانگړتياينه، ځانگړتيای",اختصاص,,,
"ځانگړنے ، ځانله",اختصاصی,,,
"خړونج، دښمنی",اختصام,,,
